Product URL,Product Name,Product Price,Rating,Number of Reviews
https://www.amazon.in/Mokobara-Backpack-Leather-Resistant-Laptop/dp/B0B7X8BYQJ/ref=sr_1_294?crid=2M096C61O4MLT&keywords=bags&qid=1690514479&sprefix=ba%2Caps%2C283&sr=8-294,"MOKOBARA The Work Backpack 15.6"" Inch Laptop | Travel Backpack For Men And Women","₹7,999",4.6 out of 5 stars,86
https://www.amazon.in/Lify-Womens-Shoulder-Crossbody-Handbag/dp/B09JWMLT7K/ref=sr_1_295?crid=2M096C61O4MLT&keywords=bags&qid=1690514479&sprefix=ba%2Caps%2C283&sr=8-295,Lify Women's Retro Large Size Canvas Shoulder,₹320,3.8 out of 5 stars,"1,644"
https://www.amazon.in/STRAUSS-Jute-Yoga-Shoulder-Strap/dp/B0BBWM221J/ref=sr_1_296?crid=2M096C61O4MLT&keywords=bags&qid=1690514479&sprefix=ba%2Caps%2C283&sr=8-296,STRAUSS Yoga Mat,₹179,3.6 out of 5 stars,740
https://www.amazon.in/Glowic-College-Business-Backpack-WBAG-65/dp/B0BGX9CLSX/ref=sr_1_297?crid=2M096C61O4MLT&keywords=bags&qid=1690514479&sprefix=ba%2Caps%2C283&sr=8-297,Glowic Office School College Business,₹929,3.8 out of 5 stars,74
https://www.amazon.in/SNDIA-Multipurpose-Travel-Toiletry-Cosmetic/dp/B07FSQ3WZX/ref=sr_1_298?crid=2M096C61O4MLT&keywords=bags&qid=1690514479&sprefix=ba%2Caps%2C283&sr=8-298,SNDIA 2-Set Toiletry Travel,₹499,4.3 out of 5 stars,"1,021"
https://www.amazon.in/Kenneth-Cole-Reaction-Polyester-Backpack/dp/B07GX3PWNK/ref=sr_1_299?crid=2M096C61O4MLT&keywords=bags&qid=1690514479&sprefix=ba%2Caps%2C283&sr=8-299,"Kenneth Cole Reaction Women's Chevron Quilted Polyester Twill 15.6"" Laptop Backpack, Midnight Black, One Size","₹4,818",4.7 out of 5 stars,"3,647"
https://www.amazon.in/Genie-Black-School-Backpack-LUSH19SBBLK/dp/B07QHLBBPM/ref=sr_1_300?crid=2M096C61O4MLT&keywords=bags&qid=1690514479&sprefix=ba%2Caps%2C283&sr=8-300,Genie Lush School,"₹1,099",4.1 out of 5 stars,"1,670"
https://www.amazon.in/Baggit-GG-Womens-Laptop-Bag/dp/B0BWRYTLHV/ref=sr_1_301?crid=2M096C61O4MLT&keywords=bags&qid=1690514479&sprefix=ba%2Caps%2C283&sr=8-301,Baggit GG Women's Laptop,"₹1,389",N/A,M.R.P: 
https://www.amazon.in/Crossbody-Adjustable-Durable-Water-Resistant-Travel-Friendly/dp/B0C3RC1ZG2/ref=sr_1_302?crid=2M096C61O4MLT&keywords=bags&qid=1690514479&sprefix=ba%2Caps%2C283&sr=8-302,Amazon Basics Sling,₹349,4.7 out of 5 stars,988
https://www.amazon.in/COSMUS-Rugged-School-Laptop-section/dp/B078MMRM38/ref=sr_1_303?crid=2M096C61O4MLT&keywords=bags&qid=1690514479&sprefix=ba%2Caps%2C283&sr=8-303,COSMUS Rugged School,"₹1,405",4.3 out of 5 stars,605
https://www.amazon.in/SFANE-Polyester-Shoulder-Separate-Compartment/dp/B08KG7J7L5/ref=sr_1_304?crid=2M096C61O4MLT&keywords=bags&qid=1690514479&sprefix=ba%2Caps%2C283&sr=8-304,SFANE Polyester Red Duffel Gym,₹387,4.3 out of 5 stars,338
